,Date,County,Population,Positive Tests,Cases Per 100k
21279,2020-05-10,Stanislaus,562303.0,4.0,0.71
21280,2020-05-10,Sutter,105747.0,0.0,0.0
21283,2020-05-10,Tulare,484423.0,23.0,4.75
21286,2020-05-10,Ventura,852747.0,14.0,1.64
21287,2020-05-10,Yolo,223612.0,0.0,0.0
21289,2020-05-09,Alameda,1685886.0,18.0,1.07
21292,2020-05-09,Butte,217769.0,0.0,0.0
21296,2020-05-09,Contra Costa,1160099.0,7.0,0.6
21298,2020-05-09,El Dorado,193098.0,2.0,1.04
21299,2020-05-09,Fresno,1032227.0,23.0,2.23
21301,2020-05-09,Humboldt,134098.0,3.0,2.24
21302,2020-05-09,Imperial,191649.0,14.0,7.31
21304,2020-05-09,Kern,927251.0,20.0,2.16
21305,2020-05-09,Kings,156444.0,8.0,5.11
21308,2020-05-09,Los Angeles,10257557.0,980.0,9.55
21309,2020-05-09,Madera,160089.0,0.0,0.0
21310,2020-05-09,Marin,260800.0,0.0,0.0
21313,2020-05-09,Merced,287420.0,0.0,0.0
21316,2020-05-09,Monterey,448732.0,3.0,0.67
21317,2020-05-09,Napa,139652.0,1.0,0.72
21319,2020-05-09,Orange,3228519.0,120.0,3.72
21321,2020-05-09,Placer,400434.0,1.0,0.25
21323,2020-05-09,Riverside,2468145.0,76.0,3.08
21324,2020-05-09,Sacramento,1567975.0,5.0,0.32
21326,2020-05-09,San Bernardino,2217398.0,39.0,1.76
21327,2020-05-09,San Diego,3370418.0,95.0,2.82
21328,2020-05-09,San Francisco,892280.0,21.0,2.35
21329,2020-05-09,San Joaquin,782545.0,9.0,1.15
21330,2020-05-09,San Luis Obispo,278862.0,1.0,0.36
21331,2020-05-09,San Mateo,778001.0,22.0,2.83
21332,2020-05-09,Santa Barbara,456373.0,7.0,1.53
21333,2020-05-09,Santa Clara,1967585.0,51.0,2.59
21334,2020-05-09,Santa Cruz,273999.0,1.0,0.36
21335,2020-05-09,Shasta,177925.0,0.0,0.0
21338,2020-05-09,Solano,444255.0,5.0,1.13
21339,2020-05-09,Sonoma,496668.0,2.0,0.4
21340,2020-05-09,Stanislaus,562303.0,3.0,0.53
21341,2020-05-09,Sutter,105747.0,0.0,0.0
21344,2020-05-09,Tulare,484423.0,29.0,5.99
21347,2020-05-09,Ventura,852747.0,15.0,1.76
21348,2020-05-09,Yolo,223612.0,0.0,0.0
21350,2020-05-08,Alameda,1685886.0,86.0,5.1
21353,2020-05-08,Butte,217769.0,0.0,0.0
21357,2020-05-08,Contra Costa,1160099.0,16.0,1.38
21359,2020-05-08,El Dorado,193098.0,3.0,1.55
21360,2020-05-08,Fresno,1032227.0,52.0,5.04
21362,2020-05-08,Humboldt,134098.0,1.0,0.75
21363,2020-05-08,Imperial,191649.0,46.0,24.0
21365,2020-05-08,Kern,927251.0,38.0,4.1
21366,2020-05-08,Kings,156444.0,21.0,13.42
21369,2020-05-08,Los Angeles,10257557.0,1346.0,13.12
21370,2020-05-08,Madera,160089.0,1.0,0.62
21371,2020-05-08,Marin,260800.0,9.0,3.45
21374,2020-05-08,Merced,287420.0,4.0,1.39
21377,2020-05-08,Monterey,448732.0,3.0,0.67
21378,2020-05-08,Napa,139652.0,1.0,0.72
21380,2020-05-08,Orange,3228519.0,220.0,6.81
21382,2020-05-08,Placer,400434.0,2.0,0.5
21384,2020-05-08,Riverside,2468145.0,146.0,5.92
21385,2020-05-08,Sacramento,1567975.0,8.0,0.51
21387,2020-05-08,San Bernardino,2217398.0,137.0,6.18
21388,2020-05-08,San Diego,3370418.0,174.0,5.16
21389,2020-05-08,San Francisco,892280.0,38.0,4.26
21390,2020-05-08,San Joaquin,782545.0,21.0,2.68
21391,2020-05-08,San Luis Obispo,278862.0,11.0,3.94
21392,2020-05-08,San Mateo,778001.0,34.0,4.37
21393,2020-05-08,Santa Barbara,456373.0,8.0,1.75
21394,2020-05-08,Santa Clara,1967585.0,43.0,2.19
21395,2020-05-08,Santa Cruz,273999.0,1.0,0.36
21396,2020-05-08,Shasta,177925.0,1.0,0.56
21399,2020-05-08,Solano,444255.0,10.0,2.25
21400,2020-05-08,Sonoma,496668.0,7.0,1.41
21401,2020-05-08,Stanislaus,562303.0,18.0,3.2
21402,2020-05-08,Sutter,105747.0,0.0,0.0
21405,2020-05-08,Tulare,484423.0,57.0,11.77
21408,2020-05-08,Ventura,852747.0,38.0,4.46
21409,2020-05-08,Yolo,223612.0,3.0,1.34
21411,2020-05-07,Alameda,1685886.0,38.0,2.25
21414,2020-05-07,Butte,217769.0,0.0,0.0
21418,2020-05-07,Contra Costa,1160099.0,16.0,1.38
21420,2020-05-07,El Dorado,193098.0,3.0,1.55
21421,2020-05-07,Fresno,1032227.0,59.0,5.72
21423,2020-05-07,Humboldt,134098.0,0.0,0.0
21424,2020-05-07,Imperial,191649.0,65.0,33.92
21426,2020-05-07,Kern,927251.0,49.0,5.28
21427,2020-05-07,Kings,156444.0,29.0,18.54
21430,2020-05-07,Los Angeles,10257557.0,1295.0,12.62
21431,2020-05-07,Madera,160089.0,1.0,0.62
21432,2020-05-07,Marin,260800.0,4.0,1.53
21435,2020-05-07,Merced,287420.0,9.0,3.13
21438,2020-05-07,Monterey,448732.0,8.0,1.78
21439,2020-05-07,Napa,139652.0,0.0,0.0
21441,2020-05-07,Orange,3228519.0,195.0,6.04
21443,2020-05-07,Placer,400434.0,2.0,0.5
21445,2020-05-07,Riverside,2468145.0,170.0,6.89
21446,2020-05-07,Sacramento,1567975.0,6.0,0.38
21448,2020-05-07,San Bernardino,2217398.0,143.0,6.45
21449,2020-05-07,San Diego,3370418.0,164.0,4.87
21450,2020-05-07,San Francisco,892280.0,29.0,3.25
21451,2020-05-07,San Joaquin,782545.0,13.0,1.66
21452,2020-05-07,San Luis Obispo,278862.0,3.0,1.08
21453,2020-05-07,San Mateo,778001.0,61.0,7.84
21454,2020-05-07,Santa Barbara,456373.0,13.0,2.85
21455,2020-05-07,Santa Clara,1967585.0,47.0,2.39
21456,2020-05-07,Santa Cruz,273999.0,4.0,1.46
21457,2020-05-07,Shasta,177925.0,0.0,0.0
21460,2020-05-07,Solano,444255.0,18.0,4.05
21461,2020-05-07,Sonoma,496668.0,14.0,2.82
21462,2020-05-07,Stanislaus,562303.0,19.0,3.38
21463,2020-05-07,Sutter,105747.0,0.0,0.0
21466,2020-05-07,Tulare,484423.0,86.0,17.75
21469,2020-05-07,Ventura,852747.0,27.0,3.17
21470,2020-05-07,Yolo,223612.0,3.0,1.34
21472,2020-05-06,Alameda,1685886.0,78.0,4.63
21475,2020-05-06,Butte,217769.0,0.0,0.0
21479,2020-05-06,Contra Costa,1160099.0,27.0,2.33
21481,2020-05-06,El Dorado,193098.0,0.0,0.0
21482,2020-05-06,Fresno,1032227.0,58.0,5.62
21484,2020-05-06,Humboldt,134098.0,1.0,0.75
21485,2020-05-06,Imperial,191649.0,51.0,26.61
21487,2020-05-06,Kern,927251.0,40.0,4.31
21488,2020-05-06,Kings,156444.0,21.0,13.42
21491,2020-05-06,Los Angeles,10257557.0,1404.0,13.69
21492,2020-05-06,Madera,160089.0,2.0,1.25
21493,2020-05-06,Marin,260800.0,7.0,2.68
21496,2020-05-06,Merced,287420.0,6.0,2.09
21499,2020-05-06,Monterey,448732.0,19.0,4.23
21500,2020-05-06,Napa,139652.0,1.0,0.72
21502,2020-05-06,Orange,3228519.0,221.0,6.85
21504,2020-05-06,Placer,400434.0,1.0,0.25
21506,2020-05-06,Riverside,2468145.0,147.0,5.96
21507,2020-05-06,Sacramento,1567975.0,16.0,1.02
21509,2020-05-06,San Bernardino,2217398.0,103.0,4.65
21510,2020-05-06,San Diego,3370418.0,182.0,5.4
21511,2020-05-06,San Francisco,892280.0,34.0,3.81
21512,2020-05-06,San Joaquin,782545.0,12.0,1.53
21513,2020-05-06,San Luis Obispo,278862.0,5.0,1.79
21514,2020-05-06,San Mateo,778001.0,57.0,7.33
21515,2020-05-06,Santa Barbara,456373.0,217.0,47.55
21516,2020-05-06,Santa Clara,1967585.0,66.0,3.35
21517,2020-05-06,Santa Cruz,273999.0,0.0,0.0
21518,2020-05-06,Shasta,177925.0,1.0,0.56
21521,2020-05-06,Solano,444255.0,13.0,2.93
21522,2020-05-06,Sonoma,496668.0,7.0,1.41
21523,2020-05-06,Stanislaus,562303.0,29.0,5.16
21524,2020-05-06,Sutter,105747.0,0.0,0.0
21527,2020-05-06,Tulare,484423.0,61.0,12.59
21530,2020-05-06,Ventura,852747.0,26.0,3.05
21531,2020-05-06,Yolo,223612.0,9.0,4.02
21533,2020-05-05,Alameda,1685886.0,67.0,3.97
21536,2020-05-05,Butte,217769.0,0.0,0.0
21540,2020-05-05,Contra Costa,1160099.0,15.0,1.29
21542,2020-05-05,El Dorado,193098.0,1.0,0.52
21543,2020-05-05,Fresno,1032227.0,56.0,5.43
21545,2020-05-05,Humboldt,134098.0,1.0,0.75
21546,2020-05-05,Imperial,191649.0,34.0,17.74
21548,2020-05-05,Kern,927251.0,26.0,2.8
21549,2020-05-05,Kings,156444.0,30.0,19.18
21552,2020-05-05,Los Angeles,10257557.0,1500.0,14.62
21553,2020-05-05,Madera,160089.0,2.0,1.25
21554,2020-05-05,Marin,260800.0,4.0,1.53
21557,2020-05-05,Merced,287420.0,4.0,1.39
21560,2020-05-05,Monterey,448732.0,4.0,0.89
21561,2020-05-05,Napa,139652.0,0.0,0.0
21563,2020-05-05,Orange,3228519.0,142.0,4.4
21565,2020-05-05,Placer,400434.0,6.0,1.5
21567,2020-05-05,Riverside,2468145.0,119.0,4.82
21568,2020-05-05,Sacramento,1567975.0,14.0,0.89
21570,2020-05-05,San Bernardino,2217398.0,185.0,8.34
21571,2020-05-05,San Diego,3370418.0,201.0,5.96
21572,2020-05-05,San Francisco,892280.0,44.0,4.93
21573,2020-05-05,San Joaquin,782545.0,13.0,1.66
21574,2020-05-05,San Luis Obispo,278862.0,5.0,1.79
21575,2020-05-05,San Mateo,778001.0,41.0,5.27
21576,2020-05-05,Santa Barbara,456373.0,259.0,56.75
21577,2020-05-05,Santa Clara,1967585.0,50.0,2.54
21578,2020-05-05,Santa Cruz,273999.0,0.0,0.0
21579,2020-05-05,Shasta,177925.0,0.0,0.0
21582,2020-05-05,Solano,444255.0,13.0,2.93
21583,2020-05-05,Sonoma,496668.0,26.0,5.23
21584,2020-05-05,Stanislaus,562303.0,13.0,2.31
21585,2020-05-05,Sutter,105747.0,3.0,2.84
21588,2020-05-05,Tulare,484423.0,96.0,19.82
21591,2020-05-05,Ventura,852747.0,15.0,1.76
21592,2020-05-05,Yolo,223612.0,5.0,2.24
21594,2020-05-04,Alameda,1685886.0,57.0,3.38
21597,2020-05-04,Butte,217769.0,0.0,0.0
21601,2020-05-04,Contra Costa,1160099.0,26.0,2.24
21603,2020-05-04,El Dorado,193098.0,2.0,1.04
21604,2020-05-04,Fresno,1032227.0,53.0,5.13
21606,2020-05-04,Humboldt,134098.0,1.0,0.75
21607,2020-05-04,Imperial,191649.0,27.0,14.09
21609,2020-05-04,Kern,927251.0,39.0,4.21
21610,2020-05-04,Kings,156444.0,21.0,13.42
21613,2020-05-04,Los Angeles,10257557.0,1052.0,10.26
21614,2020-05-04,Madera,160089.0,2.0,1.25
21615,2020-05-04,Marin,260800.0,8.0,3.07
